date,asset_class,root_symbol,yes_open,yes_close,yes_mean,yes_std,yes_min,yes_max,volume_mean,liquidity_mean,n_snapshots,daily_prob_change,intraday_range,pre_prob
2026-03-08,crypto,BTC,0.0045,0.0045,0.0045,0.0,0.0045,0.0045,6877937.871142931,968890.5922275,4,0.0,0.0,0.0045
2026-03-08,crypto,DEMOCRATIC,0.0165,0.0165,0.0165,,0.0165,0.0165,11434004.677769218,321859.53187,1,0.0,0.0,0.0165
2026-03-08,crypto,DYN_CRYPTO,0.044,0.044,0.044,,0.044,0.044,729528.1053230002,64013.37347,1,0.0,0.0,0.044
2026-03-08,crypto,ETH,0.0205,0.0035,0.00775,0.0085,0.0035,0.0205,6751908.785145109,378680.485615,4,-0.017,0.017,0.00775
2026-03-08,crypto,PRESIDENTIAL,0.0085,0.0085,0.0085,,0.0085,0.0085,2569808.818469998,991336.248,1,0.0,0.0,0.0085
2026-03-08,crypto,SOL,0.0165,0.0045,0.0075,0.006000000000000001,0.0045,0.0165,3115327.078576305,121264.17661,4,-0.012,0.012,0.0075
2026-03-08,crypto,WHAT,0.044,0.044,0.044,,0.044,0.044,729528.1053230002,64221.0463,1,0.0,0.0,0.044
2026-03-08,stock,AAPL,0.375,0.37,0.3725,0.0028867513459481394,0.37,0.375,3684.716292,584.6483000000001,4,-0.0050000000000000044,0.0050000000000000044,0.3725
2026-03-08,stock,AMZN,0.5,0.5,0.5,0.0,0.5,0.5,34.0,273.3679,4,0.0,0.0,0.5
2026-03-08,stock,BITCOIN,0.0005,0.0005,0.0005,,0.0005,0.0005,191628.5781130001,1068493.06332,1,0.0,0.0,0.0005
2026-03-08,stock,DJIA,0.345,0.43,0.3733333333333333,0.04907477288111821,0.345,0.43,11697.637794999995,2036.3763,3,0.08500000000000002,0.08500000000000002,0.3733333333333333
2026-03-08,stock,ETHEREUM,0.0005,0.0005,0.0005,,0.0005,0.0005,54119.86730800002,1042989.74529,1,0.0,0.0,0.0005
2026-03-08,stock,GOOGL,0.52,0.44,0.48,0.046188021535170064,0.44,0.52,4389.514246999997,1806.32575,4,-0.08000000000000002,0.08000000000000002,0.48
2026-03-08,stock,META,0.5,0.5,0.5,0.0,0.5,0.5,0.0,282.8997,4,0.0,0.0,0.5
2026-03-08,stock,MSFT,0.5,0.495,0.4975,0.0028867513459481394,0.495,0.5,16.388885,242.7797,4,-0.0050000000000000044,0.0050000000000000044,0.4975
2026-03-08,stock,NVDA,0.41,0.405,0.4075,0.002886751345948094,0.405,0.41,276.317408,429.2564,4,-0.004999999999999949,0.004999999999999949,0.4075
2026-03-08,stock,QQQ,0.42,0.42,0.42,0.0,0.42,0.42,5391.531789750002,2502.0234,4,0.0,0.0,0.42
2026-03-08,stock,RUT,0.63,0.645,0.635,0.008660254037844393,0.63,0.645,34323.375497000015,815.4969666666666,3,0.015000000000000013,0.015000000000000013,0.635
2026-03-08,stock,SPY,0.24,0.235,0.2375,0.0028867513459481273,0.235,0.24,24622.963495999982,6641.506600000001,4,-0.0050000000000000044,0.0050000000000000044,0.2375
2026-03-08,stock,TSLA,0.48,0.47,0.475,0.0057735026918962545,0.47,0.48,3092.658483,389.7609,4,-0.010000000000000009,0.010000000000000009,0.475
